Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_F1_Mean,CV_F1_Std,CV_ROC_Mean,CV_ROC_Std,Train_Time_Sec,Inference_Time_Sec
Logistic Regression,1.0,1.0,1.0,1.0,1.0,0.9994100292730662,0.0003208762040383268,0.9999987661796326,1.7765551643812307e-06,0.464,0.0051
Decision Tree,0.9997420020639834,0.9994753410283316,0.9994753410283316,0.9994753410283316,0.9996521419476246,0.999278279460816,0.0005647274624989455,0.9994995651858201,0.0005289721940045388,0.735,0.0061
Random Forest (Default),1.0,1.0,1.0,1.0,1.0,0.9998033431239085,0.00026215546646969027,0.9999780439331645,4.3912133671231137e-05,3.3744,0.2773
Random Forest (Tuned),0.9998710010319918,0.9994756161510225,1.0,0.999737739312877,1.0,0.9998033431239085,0.00026215546646969027,0.9999987241366014,2.5517267970176507e-06,0.0,0.0849
XGBoost,1.0,1.0,1.0,1.0,1.0,0.9998033431239085,0.00026215546646969027,0.9999963266350506,5.926135666081239e-06,1.2535,0.0085
LightGBM,1.0,1.0,1.0,1.0,1.0,0.9995409189738279,0.0003935288116257565,0.9999582189420193,8.3421889978441e-05,3.0418,0.0168
CatBoost,1.0,1.0,1.0,1.0,1.0,0.9998033431239085,0.00026215546646969027,0.9999984857884942,3.0284230118304834e-06,9.14,0.0101
